Biting Down,Lorde
BITE,Troye Sivan
bitches broken hearts,Billie Eilish
Bitch I'm Madonna (feat. Nicki Minaj),Madonna
Bitch Better Have My Money,Rihanna
BIRDS OF A FEATHER,Billie Eilish
Bipp,SOPHIE
Billions,Caroline Polachek
Billie Bossa Nova,Billie Eilish
Bigmouth Strikes Again,The Smiths
Big Time Sensuality,Björk
Big Star,Lorde
"Big Man, Little Dignity",Paramore
Big Fish,Vince Staples
Big Brother,Kanye West
Bicep,TR/ST
Bette Davis Eyes,Kim Carnes
Bethlehem,Declan McKenna
The Bends,Radiohead
The Belt of Faith,Jung Jae Il
bellyache,Billie Eilish
Bella Traición,Belinda
Bella Traición,Belinda
Bella,Jerskin Fendrix
Believe In Love,MARINA
A Beginner's Guide to Destroying the Moon,Foster the People
Beetlebum,Blur
Be Sweet,Japanese Breakfast
Be Apart,Porches
Be Alone In This,Yaeji
Be a Body,Grimes
BB Talk,Miley Cyrus
The Bay,Metronomy
BATTLE OF THE LARYNX,Melanie Martinez
Banana Brain,Die Antwoord
BAGDAD (Cap.7: Liturgia),ROSALÍA
BAGARRE BAGARRE,Julien Granel
Baddy On the Floor (feat. Honey Dijon),Jamie xx
Bad Liar,Selena Gomez
Backpackers,Childish Gambino
Baby's On Fire,Die Antwoord
Baby Jane,Rod Stewart
Baby I'm Yours (feat. Irfane),Breakbot
B2b,Charli XCX
Away X5,Yaeji
Autopoiética,Mon Laferte
Aute Cuture,ROSALÍA
Aura,Lady Gaga
As U Wave,HalfNoise
Artículo 123,Mon Laferte
Army of Me,Björk
Are You Gonna Go My Way,Lenny Kravitz
¡aquí yo mando!,Kali Uchis & Rico Nasty
Apple,Charli XCX
Apocalypse Dreams,Tame Impala
Antitaxi,La Femme
Another World,The Chemical Brothers
Anklebiters,Paramore
ángel sin cielo,Kali Uchis
Andromeda (feat. DRAM),Gorillaz
Andromeda,Weyes Blood
Ancestors,Björk
Amphetamine,Smino
Amour dans le motu,La Femme
American Boy (feat. Kanye West),Estelle
Amantes Suicidas,Mon Laferte
Always On My Mind,Pet Shop Boys
Alright,Kendrick Lamar
All the Shine,Childish Gambino
all the good girls go to hell,Billie Eilish
All of the Lights (Interlude),Kanye West
All of the Lights,Kanye West
All Mine,Kanye West
All Mine,Kali Uchis
All I Wanted,Paramore
All I Need,Radiohead
All Falls Down,"Alan Walker, Noah Cyrus & Digital Farm Animals"
Aire Soy (feat. Ximena Sariñana),Miguel Bosé
Airbag,Radiohead
Ain't It Fun,Paramore
//aguardiente y limón %ᵕ‿‿ᵕ%,Kali Uchis
Again (feat. XXXTENTACION),Noah Cyrus
Again,Lenny Kravitz
Afterthought,Joji & BENEE
Afterlife,BENEE
"After the Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis
After the Afterparty (feat. Lil Yachty),Charli XCX
The Adults Are Talking,The Strokes
Adore You,Miley Cyrus
Acceptable In the 80's,Calvin Harris
Abcdefg,ROSALÍA